순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
9,정해영,KIA,3.79,60,3,7,27,0,0.300,61 2/3,75,4,18,3,72,30,26,1.51,0,0,0,7,275,1117,0.299,13,0,1,2,1,1,0,0,0,3,50,35,2,6,59,47,1.26,0.401,18.6,18.1,10.51,2.63,4.00,0.35,0.398,0.748
10,조상우,KIA,3.9,72,6,6,1,28,0.500,60,64,5,27,6,55,29,26,1.52,0,0,0,3,271,1113,0.277,15,0,6,1,3,2,0,0,0,6,7,33,0,4,58,55,1.05,0.343,15.5,18.6,8.25,4.05,2.04,0.366,0.407,0.773
11,윤중현,KIA,4.35,13,1,0,0,0,1.000,10 1/3,10,2,7,0,7,5,5,1.65,0,0,0,0,48,159,0.25,4,0,1,0,2,1,0,0,0,1,6,0,0,0,12,11,1.09,0.258,12.2,15.4,6.1,6.1,1.00,0.362,0.5,0.862
12,유승철,KIA,4.5,1,0,0,0,0,-,2,3,0,2,0,3,1,1,2.5,0,0,0,0,11,40,0.333,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0.5,0.5,40.0,20.0,13.5,9.0,1.50,0.455,0.333,0.788
13,김태형,KIA,4.56,8,0,3,0,0,0.000,23 2/3,25,4,7,5,14,12,12,1.35,0,0,0,0,107,422,0.272,4,0,3,0,0,1,1,3,0,0,1,0,0,1,28,25,1.12,0.284,52.8,17.8,5.32,2.66,2.00,0.356,0.446,0.802
14,이준영,KIA,4.76,57,3,1,0,7,0.750,34,36,6,11,1,34,18,18,1.38,0,0,0,1,145,569,0.273,10,0,1,0,2,1,0,0,0,3,5,10,0,5,35,27,1.3,0.326,10.0,16.7,9.0,2.91,3.09,0.333,0.485,0.818
15,김도현,KIA,4.81,24,4,7,0,0,0.364,125 1/3,149,11,33,10,71,79,67,1.45,0,0,9,0,561,2068,0.296,28,4,7,7,0,5,1,24,4,0,0,0,0,8,148,143,1.03,0.322,86.2,16.5,5.1,2.37,2.15,0.347,0.433,0.78
16,양현종,KIA,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49,0,0,11,0,677,2497,0.285,23,4,8,8,1,10,0,30,7,0,0,0,0,15,153,175,0.87,0.326,83.2,16.3,6.41,3.35,1.91,0.347,0.397,0.744
17,황동하,KIA,5.3,18,1,2,0,0,0.333,35 2/3,38,4,10,3,31,21,21,1.35,0,0,0,1,155,576,0.277,14,1,3,2,0,0,0,3,0,1,3,1,0,1,32,38,0.84,0.327,32.0,16.1,7.82,2.52,3.10,0.336,0.482,0.818
18,윤영철,KIA,5.58,13,2,7,0,0,0.222,50,52,4,30,1,43,37,31,1.64,0,0,1,0,227,888,0.269,7,0,1,2,0,4,0,13,2,0,0,0,0,7,48,52,0.92,0.324,68.3,17.8,7.74,5.4,1.43,0.367,0.368,0.735
19,장재혁,KIA,6.0,3,0,0,0,0,-,3,3,1,3,0,2,2,2,2.0,0,0,0,0,13,63,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0.25,0.286,21.0,21.0,6.0,9.0,0.67,0.462,0.6,1.062
20,한재승,KIA,6.48,36,1,1,1,1,0.500,33 1/3,40,5,31,1,35,29,24,2.13,0,0,0,0,161,685,0.317,4,0,1,2,0,4,0,0,0,1,8,4,0,6,31,22,1.41,0.398,19.0,20.6,9.45,8.37,1.13,0.45,0.468,0.918
21,최지민,KIA,6.58,66,2,4,0,9,0.333,53 1/3,46,5,51,4,39,40,39,1.82,0,0,0,0,253,1042,0.238,7,1,2,3,0,4,0,0,0,2,10,10,0,5,47,64,0.73,0.27,15.8,19.5,6.58,8.61,0.76,0.402,0.363,0.765
22,김건국,KIA,6.85,26,0,3,0,1,0.000,46,59,11,17,5,31,38,35,1.65,0,0,0,1,216,841,0.311,9,0,1,3,0,3,0,6,0,0,6,2,0,1,51,52,0.98,0.318,32.3,18.3,6.07,3.33,1.82,0.377,0.532,0.909
23,이도현,KIA,6.92,6,1,1,0,0,0.500,13,17,1,8,1,9,11,10,1.92,0,0,0,0,65,242,0.309,5,0,0,1,0,1,0,2,1,0,1,0,0,1,16,14,1.14,0.348,40.3,18.6,6.23,5.54,1.13,0.4,0.455,0.855
24,이의리,KIA,7.94,10,1,4,0,0,0.200,39 2/3,41,6,31,3,42,37,35,1.82,0,0,2,0,193,784,0.266,9,3,3,2,0,1,0,10,1,0,0,0,0,3,38,35,1.09,0.324,78.4,19.8,9.53,7.03,1.35,0.395,0.481,0.876
25,김시훈,KIA,8.06,24,1,0,0,1,1.000,25 2/3,33,7,10,0,18,25,23,1.68,0,0,0,0,118,439,0.308,6,0,0,1,1,0,0,0,0,1,10,1,0,2,29,28,1.04,0.313,18.3,17.1,6.31,3.51,1.80,0.364,0.561,0.925
26,이호민,KIA,8.59,13,1,0,0,0,1.000,14 2/3,21,0,9,2,7,14,14,2.05,0,0,0,0,72,259,0.362,5,0,2,1,1,0,0,0,0,1,6,0,0,3,15,16,0.94,0.404,19.9,17.7,4.3,5.52,0.78,0.457,0.448,0.905
27,김대유,KIA,9.72,15,0,1,0,1,0.000,8 1/3,12,1,4,0,3,9,9,1.92,0,0,0,0,42,140,0.324,1,0,0,1,0,0,0,0,0,0,2,0,0,0,11,12,0.92,0.324,9.3,16.8,3.24,4.32,0.75,0.381,0.432,0.813
28,이형범,KIA,11.7,12,0,0,0,0,-,10,21,0,5,0,6,16,13,2.6,0,0,0,0,56,209,0.438,6,1,1,2,1,0,0,0,0,0,5,0,0,0,14,9,1.56,0.477,17.4,20.9,5.4,4.5,1.20,0.473,0.604,1.077
29,김민주,KIA,12.0,3,0,0,0,0,-,3,4,0,2,2,2,4,4,2.0,0,0,0,0,17,54,0.333,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0.4,0.364,18.0,18.0,6.0,6.0,1.00,0.471,0.583,1.054
30,임기영,KIA,13.0,10,1,1,0,0,0.500,9,23,2,4,0,5,13,13,3.0,0,0,0,0,52,176,0.489,4,0,1,0,0,0,0,0,0,1,2,0,0,1,6,13,0.46,0.525,17.6,19.6,5.0,4.0,1.25,0.529,0.702,1.231
1,김한중,두산,0.0,2,0,0,0,0,-,2,1,0,0,0,0,1,0,0.5,0,0,0,0,8,25,0.125,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0.75,0.125,12.5,12.5,0.0,0.0,-,0.125,0.25,0.375
2,이교훈,두산,1.17,10,1,0,0,0,1.000,7 2/3,4,0,4,1,7,2,1,1.04,0,0,0,0,29,125,0.174,1,0,1,0,0,2,0,0,0,1,3,0,0,3,5,7,0.71,0.25,12.5,16.3,8.22,4.7,1.75,0.321,0.217,0.538
3,잭로그,두산,2.81,30,10,8,0,1,0.556,176,146,8,39,17,156,66,55,1.05,0,0,17,0,722,2698,0.224,25,4,11,2,0,4,0,29,10,0,0,1,0,15,204,149,1.37,0.281,89.9,15.3,7.98,1.99,4.00,0.284,0.311,0.595
4,박신지,두산,2.85,54,2,4,0,5,0.333,60,55,3,29,5,36,24,19,1.4,0,0,0,1,264,1008,0.244,15,3,2,3,6,8,0,0,0,2,7,8,0,4,58,79,0.73,0.275,18.7,16.8,5.4,4.35,1.24,0.34,0.378,0.718
5,김택연,두산,3.53,64,4,5,24,0,0.444,66 1/3,47,6,31,5,79,31,26,1.18,0,0,0,9,281,1151,0.196,6,0,4,1,2,5,0,0,0,4,43,34,3,3,42,73,0.58,0.263,18.0,17.4,10.72,4.21,2.55,0.3,0.296,0.596
6,박치국,두산,3.75,73,4,4,2,16,0.500,62 1/3,58,4,21,7,57,35,26,1.27,0,0,0,4,271,1045,0.245,15,0,5,1,1,0,0,0,0,4,11,23,0,2,66,57,1.16,0.305,14.3,16.8,8.23,3.03,2.71,0.323,0.359,0.682
7,김정우,두산,3.86,18,0,0,1,1,-,21,26,1,9,3,13,12,9,1.67,0,0,0,0,103,396,0.302,4,0,3,2,0,1,0,0,0,0,9,2,0,1,26,23,1.13,0.338,22.0,18.9,5.57,3.86,1.44,0.38,0.384,0.764
8,이영하,두산,4.05,73,4,4,0,14,0.500,66 2/3,63,4,39,6,72,33,30,1.53,0,0,0,5,299,1136,0.254,10,0,5,1,2,7,0,0,0,4,8,23,0,6,66,48,1.38,0.341,15.6,17.0,9.72,5.27,1.85,0.367,0.343,0.71
9,박정수,두산,4.1,29,1,0,0,3,1.000,26 1/3,31,1,8,4,15,13,12,1.48,0,0,0,0,119,418,0.304,3,1,3,2,1,1,0,0,0,1,5,5,0,3,32,26,1.23,0.341,14.4,15.9,5.13,2.73,1.88,0.371,0.382,0.753
10,곽빈,두산,4.2,19,5,7,0,0,0.417,109 1/3,96,9,41,2,107,55,51,1.25,0,0,7,0,465,1804,0.232,23,3,2,6,0,5,0,19,5,0,0,0,0,4,109,108,1.01,0.286,94.9,16.5,8.81,3.38,2.61,0.3,0.367,0.667
11,양재훈,두산,4.24,19,0,0,1,0,-,23 1/3,19,3,8,0,19,11,11,1.16,0,0,0,0,93,380,0.226,4,0,0,1,0,0,0,0,0,0,8,2,0,2,14,33,0.42,0.254,20.0,16.3,7.33,3.09,2.38,0.29,0.381,0.671
12,최민석,두산,4.4,17,3,3,0,0,0.500,77 2/3,72,7,34,5,53,41,38,1.36,0,0,4,0,333,1342,0.248,15,1,3,1,1,5,1,15,3,0,0,0,0,9,90,76,1.18,0.281,78.9,17.3,6.14,3.94,1.56,0.336,0.379,0.715
13,최승용,두산,4.41,23,5,7,0,0,0.417,116 1/3,121,8,36,6,71,60,57,1.35,0,0,9,0,507,1958,0.265,20,4,5,3,0,4,0,23,5,0,0,0,0,10,120,148,0.81,0.297,85.1,16.8,5.49,2.79,1.97,0.325,0.379,0.704
14,콜어빈,두산,4.48,28,8,12,0,0,0.400,144 2/3,142,9,79,18,128,80,72,1.53,0,0,10,0,649,2593,0.268,26,3,14,8,1,6,0,28,8,0,0,0,0,16,147,121,1.21,0.332,92.6,17.9,7.96,4.91,1.62,0.376,0.379,0.755
15,홍민규,두산,4.59,20,2,1,1,0,0.667,33 1/3,37,4,15,1,17,19,17,1.56,0,0,0,0,151,571,0.28,6,0,0,3,0,4,0,2,0,2,11,1,0,2,30,51,0.59,0.289,28.6,17.1,4.59,4.05,1.13,0.351,0.417,0.768
16,김민규,두산,4.66,7,1,1,0,0,0.500,9 2/3,9,1,6,4,6,5,5,1.55,0,0,0,0,47,199,0.273,3,0,0,4,0,0,0,1,0,1,5,0,0,0,6,16,0.38,0.267,28.4,20.6,5.59,5.59,1.00,0.404,0.455,0.859
17,최원준,두산,4.71,47,4,7,0,9,0.364,107,105,18,38,4,62,59,56,1.34,0,0,5,2,456,1852,0.258,17,2,4,3,2,4,0,16,1,3,1,9,0,6,96,147,0.65,0.264,39.4,17.3,5.21,3.2,1.63,0.325,0.442,0.767
18,제환유,두산,4.96,6,0,1,0,0,0.000,16 1/3,17,2,12,1,8,10,9,1.78,0,0,0,0,78,304,0.27,1,0,1,1,1,0,0,3,0,0,0,0,0,1,19,20,0.95,0.278,50.7,18.6,4.41,6.61,0.67,0.39,0.381,0.771
19,김명신,두산,5.4,8,0,0,0,0,-,8 1/3,13,0,3,1,6,8,5,1.92,0,0,0,0,43,202,0.342,3,1,0,1,0,1,0,0,0,0,1,0,0,0,10,10,1.00,0.394,25.3,24.2,6.48,3.24,2.00,0.395,0.474,0.869
19,최종인,두산,5.4,3,0,0,0,0,-,1 2/3,1,0,3,0,5,1,1,2.4,0,0,0,0,9,46,0.167,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,-,1.0,15.3,27.6,27.0,16.2,1.67,0.444,0.167,0.611
21,홍건희,두산,6.19,20,2,1,0,0,0.667,16,18,2,15,0,15,13,11,2.06,0,0,0,0,83,341,0.273,1,0,2,0,1,0,0,0,0,2,7,0,0,0,22,11,2.00,0.327,17.1,21.3,8.44,8.44,1.00,0.407,0.379,0.786
22,이병헌,두산,6.23,22,0,0,0,4,-,13,11,1,10,0,9,9,9,1.62,0,0,0,0,56,216,0.244,1,0,0,1,2,0,0,0,0,0,2,6,0,1,8,18,0.44,0.278,9.8,16.6,6.23,6.92,0.90,0.375,0.333,0.708
23,최지강,두산,6.34,39,2,5,0,5,0.286,32 2/3,41,3,13,2,38,25,23,1.65,0,0,0,4,149,582,0.313,5,0,3,0,1,3,0,0,0,2,9,13,0,3,39,13,3.00,0.422,14.9,17.8,10.47,3.58,2.92,0.384,0.42,0.804
24,김호준,두산,6.75,19,0,1,0,1,0.000,10 2/3,14,2,7,0,7,11,8,1.97,0,0,0,1,54,218,0.298,3,0,0,0,1,1,0,0,0,0,3,2,0,2,22,4,5.50,0.316,11.5,20.4,5.91,5.91,1.00,0.389,0.489,0.878
24,윤태호,두산,6.75,10,0,1,0,1,0.000,17 1/3,16,2,5,0,16,14,13,1.21,0,0,0,0,73,287,0.246,6,0,2,1,0,2,0,1,0,0,2,0,0,1,14,20,0.70,0.292,28.7,16.6,8.31,2.6,3.20,0.296,0.431,0.727
26,고효준,두산,6.86,45,2,1,0,9,0.667,21,29,4,14,1,19,16,16,2.05,0,0,0,3,104,441,0.337,2,1,2,1,1,4,0,0,0,2,2,15,0,3,23,16,1.44,0.391,9.8,21.0,8.14,6.0,1.36,0.431,0.523,0.954
27,최준호,두산,8.44,9,1,2,0,0,0.333,16,18,4,9,2,11,15,15,1.69,0,0,0,0,74,305,0.29,5,0,0,1,0,2,0,3,0,1,2,0,0,1,14,20,0.70,0.292,33.9,19.1,6.19,5.06,1.22,0.392,0.565,0.957
28,김유성,두산,8.83,7,0,2,0,0,0.000,17 1/3,17,3,14,4,22,17,17,1.79,0,0,0,0,85,385,0.254,2,0,0,0,0,1,0,4,0,0,1,0,0,0,11,17,0.65,0.333,55.0,22.2,11.42,7.27,1.57,0.412,0.418,0.83
1,주승우,키움,2.45,42,2,2,16,5,0.500,44,35,7,17,2,35,13,12,1.18,0,0,0,4,179,713,0.222,1,0,2,0,0,1,0,0,0,2,25,25,1,6,37,51,0.73,0.241,17.0,16.2,7.16,3.48,2.06,0.305,0.361,0.666
2,웰스,키움,3.15,4,1,1,0,0,0.500,20,18,0,6,1,16,8,7,1.2,0,0,2,0,85,329,0.234,3,0,0,1,0,0,0,4,1,0,0,0,0,1,18,26,0.69,0.29,82.3,16.5,7.2,2.7,2.67,0.294,0.273,0.567
3,로젠버그,키움,3.23,13,4,4,0,0,0.500,75 1/3,63,5,25,4,80,33,27,1.17,0,0,6,0,320,1265,0.22,13,2,3,1,0,2,0,13,4,0,0,0,0,2,69,76,0.91,0.286,97.3,16.8,9.56,2.99,3.2,0.29,0.331,0.621
4,알칸타라,키움,3.27,19,8,4,0,0,0.667,121,125,11,10,4,92,50,44,1.12,0,0,14,0,492,1796,0.267,20,3,6,3,0,3,0,19,8,0,0,0,0,7,125,130,0.96,0.309,94.5,14.8,6.84,0.74,9.2,0.286,0.392,0.678
5,오석주,키움,3.7,53,2,1,0,7,0.667,58 1/3,52,4,29,7,44,24,24,1.39,0,0,0,1,252,1032,0.249,6,1,3,4,0,3,0,0,0,2,15,7,0,7,61,56,1.09,0.291,19.5,17.7,6.79,4.47,1.52,0.353,0.344,0.697
6,메르세데스,키움,4.47,8,3,3,0,0,0.500,46 1/3,54,5,9,0,41,24,23,1.36,0,0,2,0,197,764,0.292,12,0,2,1,0,2,1,8,3,0,0,0,0,4,52,39,1.33,0.35,95.5,16.5,7.96,1.75,4.56,0.323,0.438,0.761
7,박윤성,키움,4.53,54,0,5,1,6,0.000,51 2/3,55,9,19,1,40,31,26,1.43,0,0,0,3,226,905,0.271,12,0,3,0,0,4,1,0,0,0,11,6,0,4,43,65,0.66,0.299,16.8,17.5,6.97,3.31,2.11,0.336,0.463,0.799
8,김성민,키움,4.68,29,0,3,0,1,0.000,25,25,1,13,5,18,15,13,1.52,0,0,0,1,113,397,0.272,3,3,2,1,1,0,0,0,0,0,5,2,0,4,28,22,1.27,0.324,13.7,15.9,6.48,4.68,1.38,0.387,0.402,0.789
9,하영민,키움,4.99,28,7,14,0,0,0.333,153 1/3,169,13,41,9,134,90,85,1.37,0,0,14,0,669,2506,0.278,29,3,8,2,1,7,0,28,7,0,0,0,0,8,144,164,0.88,0.336,89.5,16.3,7.87,2.41,3.27,0.331,0.399,0.73
10,윤석원,키움,5.54,37,1,1,0,8,0.500,37 1/3,41,3,12,2,27,23,23,1.42,0,0,0,1,160,623,0.285,9,3,1,1,2,0,0,0,0,1,10,9,0,3,31,46,0.67,0.33,16.8,16.7,6.51,2.89,2.25,0.346,0.451,0.797
11,김선기,키움,5.65,44,1,7,0,2,0.125,78,96,6,47,11,43,55,49,1.83,0,0,0,0,381,1391,0.305,17,0,3,5,1,2,0,8,0,1,7,0,0,5,76,105,0.72,0.332,31.6,17.8,4.96,5.42,0.91,0.407,0.416,0.823
12,조영건,키움,5.68,51,5,5,8,7,0.500,77 2/3,84,12,38,4,47,51,49,1.57,0,0,0,2,353,1330,0.275,18,1,2,4,0,5,0,6,0,5,16,17,1,7,58,120,0.48,0.288,26.1,17.1,5.45,4.4,1.24,0.359,0.459,0.818
13,정현우,키움,5.86,18,3,7,0,0,0.300,81 1/3,92,8,48,6,55,63,53,1.72,0,0,3,0,384,1496,0.287,20,0,3,6,0,4,2,18,3,0,0,0,0,6,81,99,0.82,0.318,83.1,18.4,6.09,5.31,1.15,0.383,0.424,0.807
14,원종현,키움,6.13,61,2,4,5,11,0.333,54 1/3,68,5,18,3,40,42,37,1.58,0,0,0,6,248,931,0.313,8,2,7,3,2,6,0,0,0,2,13,22,1,3,63,49,1.29,0.36,15.3,17.1,6.63,2.98,2.22,0.369,0.438,0.807
15,김윤하,키움,6.14,19,0,12,0,0,0.000,88,113,16,44,3,52,76,60,1.78,0,0,4,1,422,1645,0.309,18,2,5,4,1,2,0,18,0,0,0,1,0,3,68,137,0.5,0.321,86.6,18.7,5.32,4.5,1.18,0.384,0.5,0.884
16,이강준,키움,6.57,29,0,3,0,2,0.000,24 2/3,29,3,17,2,26,22,18,1.86,0,0,0,0,119,492,0.296,5,0,2,0,0,2,0,0,0,0,3,2,0,2,28,15,1.87,0.377,17.0,19.9,9.49,6.2,1.53,0.41,0.439,0.849
17,박주성,키움,6.58,18,2,3,0,1,0.400,52,63,9,16,3,26,40,38,1.52,0,0,2,0,235,865,0.3,11,2,2,4,0,2,0,6,1,1,5,1,0,4,71,54,1.31,0.302,48.1,16.6,4.5,2.77,1.63,0.352,0.5,0.852
18,김연주,키움,6.62,20,1,3,0,0,0.250,51 2/3,67,10,25,6,28,40,38,1.78,0,0,0,0,250,939,0.316,14,2,2,5,2,0,0,8,1,0,1,0,0,1,47,75,0.63,0.318,47.0,18.2,4.88,4.35,1.12,0.395,0.542,0.937
19,김동규,키움,6.75,9,0,0,0,0,-,8,13,2,11,0,10,11,6,3.0,0,0,0,0,49,203,0.342,1,0,0,0,0,4,0,0,0,0,6,1,0,0,5,10,0.5,0.423,22.6,25.4,11.25,12.38,0.91,0.49,0.526,1.016
20,박정훈,키움,7.43,16,0,1,1,0,0.000,23,24,1,20,4,7,24,19,1.91,0,0,0,0,116,450,0.276,6,0,1,4,0,3,0,3,0,0,8,1,0,4,40,20,2.0,0.277,28.1,19.6,2.74,7.83,0.35,0.417,0.379,0.796
21,양지율,키움,8.36,18,0,2,0,1,0.000,14,18,3,7,3,10,13,13,1.79,0,0,0,0,69,268,0.305,1,2,0,0,0,1,0,0,0,0,4,1,0,1,15,16,0.94,0.326,14.9,19.1,6.43,4.5,1.43,0.406,0.542,0.948
22,윤현,키움,8.59,17,2,1,0,0,0.667,22,31,2,23,5,15,28,21,2.45,0,0,0,1,125,514,0.326,4,1,0,2,0,5,0,3,0,2,0,3,0,1,15,36,0.42,0.363,30.2,23.4,6.14,9.41,0.65,0.472,0.453,0.925
23,이준우,키움,8.61,31,1,4,0,3,0.200,23,37,6,12,1,22,23,22,2.13,0,0,0,0,118,469,0.359,7,1,2,0,0,0,0,0,0,1,4,3,0,1,22,22,1.0,0.413,15.1,20.4,8.61,4.7,1.83,0.431,0.621,1.052
24,전준표,키움,8.85,21,2,2,0,1,0.500,20 1/3,33,2,19,3,15,22,20,2.56,0,0,0,0,114,400,0.375,8,0,3,1,3,3,0,1,0,2,4,2,0,2,18,23,0.78,0.431,19.0,19.7,6.64,8.41,0.79,0.495,0.534,1.029
25,손힘찬,키움,11.25,4,0,0,0,0,-,4,5,0,4,1,4,5,5,2.25,0,0,0,0,22,84,0.294,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,6,0.33,0.385,21.0,21.0,9.0,9.0,1.0,0.455,0.412,0.867
26,손현기,키움,15.0,2,0,0,0,0,-,3,4,1,6,1,1,5,5,3.33,0,0,0,0,18,78,0.364,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,3,1.0,0.333,39.0,26.0,3.0,18.0,0.17,0.611,0.727,1.338
27,정세영,키움,16.88,4,0,1,0,0,0.000,2 2/3,9,0,4,0,2,6,5,4.88,0,0,0,0,22,84,0.5,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,6,0.17,0.563,21.0,31.5,6.75,13.5,0.5,0.591,0.611,1.202
28,김서준,키움,20.25,4,0,0,0,0,-,5 1/3,14,2,5,0,4,12,12,3.56,0,0,0,0,34,123,0.5,5,0,0,1,0,1,0,0,0,0,2,0,0,1,5,6,0.83,0.522,30.8,23.1,6.75,8.44,0.8,0.559,0.893,1.452
29,임진묵,키움,24.55,4,0,0,0,0,-,3 2/3,10,0,5,1,3,11,10,4.09,0,0,0,0,28,108,0.476,2,1,0,1,0,1,0,0,0,0,2,0,0,0,3,6,0.5,0.526,27.0,29.5,7.36,12.27,0.6,0.571,0.667,1.238
