순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
17,황준서,한화,5.3,23,2,8,0,0,0.200,56,54,7,26,2,57,37,33,1.43,0,0,2,0,242,1012,0.255,11,4,0,2,2,1,0,12,1,1,1,2,0,3,53,50,1.06,0.313,44.0,18.1,9.16,4.18,2.19,0.339,0.443,0.782
18,엄상백,한화,6.58,28,2,7,0,1,0.222,80 2/3,106,13,38,8,74,60,59,1.79,0,0,2,0,379,1540,0.324,18,3,3,3,0,3,0,16,1,1,0,1,0,5,62,88,0.7,0.383,55.0,19.1,8.26,4.24,1.95,0.404,0.517,0.921
19,이상규,한화,8.0,5,0,1,0,0,0.000,9,16,0,4,0,5,9,8,2.22,0,0,0,0,47,155,0.372,2,1,0,0,0,0,0,0,0,0,4,0,0,1,12,10,1.2,0.421,31.0,17.2,5.0,4.0,1.25,0.426,0.465,0.891
20,권민규,한화,8.44,5,0,0,0,0,-,5 1/3,5,1,7,0,4,5,5,2.25,0,0,0,0,28,129,0.25,1,0,0,1,0,0,0,0,0,0,2,0,0,0,4,8,0.5,0.25,25.8,24.2,6.75,11.81,0.57,0.429,0.45,0.879
21,강재민,한화,9.0,4,0,0,0,0,-,4,6,1,2,1,5,4,4,2.0,0,0,0,0,20,92,0.375,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,5,0.2,0.455,23.0,23.0,11.25,4.5,2.5,0.45,0.625,1.075
22,원종혁,한화,16.2,2,0,0,0,0,-,1 2/3,3,1,2,0,1,3,3,3.0,0,0,0,0,10,37,0.429,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0.0,0.333,18.5,22.2,5.4,10.8,0.5,0.5,0.857,1.357
23,김승일,한화,23.63,5,0,0,0,0,-,2 2/3,3,1,3,3,3,7,7,2.25,0,0,0,0,17,68,0.273,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,3,0.67,0.286,13.6,25.5,10.13,10.13,1.0,0.529,0.545,1.074
1,김성민,SSG,0.0,2,1,0,0,0,1.000,2/3,0,0,2,0,0,0,0,3.0,0,0,0,0,4,22,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1.0,0.0,11.0,33.0,0.0,27.0,0.00,0.5,0.0,0.5
1,신지환,SSG,0.0,1,0,0,0,0,-,1,0,0,0,1,1,0,0,0.0,0,0,0,0,4,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,18.0,18.0,9.0,0.0,-,0.25,0.0,0.25
3,조병현,SSG,1.6,69,5,4,30,0,0.556,67 1/3,42,5,18,0,79,13,12,0.89,0,0,0,2,255,1088,0.179,7,0,1,1,2,1,0,0,0,5,55,32,2,3,41,74,0.55,0.243,15.8,16.2,10.56,2.41,4.39,0.236,0.272,0.508
4,이로운,SSG,1.99,75,6,5,1,33,0.545,77,56,7,26,0,66,19,17,1.06,0,0,0,1,305,1261,0.206,4,1,4,3,5,2,0,0,0,6,5,31,0,5,65,88,0.74,0.243,16.8,16.4,7.71,3.04,2.54,0.272,0.305,0.577
5,노경은,SSG,2.14,77,3,6,3,35,0.333,80,60,2,25,3,68,22,19,1.06,0,0,0,6,320,1177,0.215,10,0,9,4,5,3,0,0,0,3,6,36,0,2,76,79,0.96,0.272,15.3,14.7,7.65,2.81,2.72,0.283,0.272,0.555
6,앤더슨,SSG,2.25,30,12,7,0,0,0.632,171 2/3,121,13,51,9,245,53,43,1.0,0,0,17,0,694,2792,0.193,17,1,3,3,1,10,0,30,12,0,0,0,0,7,130,134,0.97,0.29,93.1,16.3,12.84,2.67,4.80,0.262,0.285,0.547
7,김택형,SSG,2.78,25,0,0,0,1,-,22 2/3,19,0,10,3,14,7,7,1.28,0,0,0,0,95,371,0.235,6,0,1,0,0,2,0,0,0,0,13,0,0,4,27,21,1.29,0.284,14.8,16.4,5.56,3.97,1.40,0.34,0.309,0.649
8,화이트,SSG,2.87,24,11,4,0,0,0.733,134 2/3,111,9,44,8,137,51,43,1.15,1,0,12,0,562,2165,0.221,17,2,4,3,1,6,0,24,11,0,0,0,0,8,162,96,1.69,0.283,90.2,16.1,9.16,2.94,3.11,0.292,0.316,0.608
9,김민,SSG,2.97,70,5,2,1,22,0.714,63 2/3,60,7,17,6,65,23,21,1.21,0,0,0,4,266,944,0.251,7,0,4,0,2,4,0,0,0,5,6,22,1,11,77,37,2.08,0.317,13.5,14.8,9.19,2.4,3.82,0.317,0.368,0.685
10,박기호,SSG,3.0,18,0,0,0,2,-,24,23,3,12,8,13,10,8,1.46,0,0,0,0,110,451,0.267,2,0,3,1,1,2,0,1,0,0,6,0,0,5,33,18,1.83,0.282,25.1,18.8,4.88,4.5,1.08,0.402,0.395,0.797
11,박시후,SSG,3.27,52,6,2,0,3,0.750,52 1/3,45,5,29,5,34,24,19,1.41,0,0,0,0,231,930,0.233,3,0,3,1,1,0,1,1,0,6,6,1,0,6,65,50,1.3,0.258,17.9,17.8,5.85,4.99,1.17,0.346,0.326,0.672
12,김건우,SSG,3.82,35,5,4,0,2,0.556,66,53,2,49,7,68,31,28,1.55,0,0,0,0,301,1241,0.22,14,0,2,2,1,4,0,13,4,1,5,3,0,5,51,71,0.72,0.295,35.5,18.8,9.27,6.68,1.39,0.365,0.303,0.668
13,최민준,SSG,3.97,40,2,2,0,1,0.500,65 2/3,72,6,24,3,44,34,29,1.46,0,0,0,0,287,1172,0.289,7,0,7,4,0,3,0,8,0,2,10,2,0,9,67,70,0.96,0.325,29.3,17.8,6.03,3.29,1.83,0.354,0.39,0.744
14,전영준,SSG,4.61,34,1,5,0,0,0.167,52 2/3,48,5,26,5,55,28,27,1.41,0,0,0,0,228,993,0.249,9,0,3,1,1,3,0,5,0,1,6,1,0,4,35,56,0.63,0.321,29.2,18.9,9.4,4.44,2.12,0.351,0.373,0.724
15,한두솔,SSG,4.95,44,2,0,1,3,1.000,36 1/3,46,1,19,1,27,22,20,1.79,0,0,0,1,169,649,0.317,5,0,2,2,1,1,0,0,0,2,7,4,1,5,38,36,1.06,0.378,14.8,17.9,6.69,4.71,1.42,0.395,0.372,0.767
